InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
738873,SKU_1335,T-shirt,19,2020-01-28 03:00,17.18,,United Kingdom,0.28,Credit Card,23.07,Apparel,Online,Not Returned,FedEx,Amsterdam,Medium
906790,SKU_1531,Wireless Mouse,20,2020-01-28 09:00,25.25,,United Kingdom,0.26,Credit Card,14.16,Furniture,In-store,Not Returned,DHL,Rome,Low
231484,SKU_1803,T-shirt,-9,2020-01-28 16:00,-74.28,,Germany,0.37,paypall,,Stationery,Online,Not Returned,UPS,,Low
663044,SKU_1508,Office Chair,-12,2020-01-29 00:00,-79.17,,Belgium,1.236046393230739,Bank Transfer,,Accessories,In-store,Not Returned,FedEx,,High
170640,SKU_1175,Blue Pen,32,2020-01-29 09:00,16.64,,United Kingdom,0.34,paypall,20.38,Apparel,Online,Not Returned,Royal Mail,,Medium
664242,SKU_1424,Headphones,45,2020-01-30 06:00,3.48,,Spain,0.16,Bank Transfer,26.04,Apparel,Online,Not Returned,Royal Mail,,High
825256,SKU_1862,Backpack,-35,2020-01-30 12:00,-86.53,,France,1.348446394966762,Bank Transfer,,Electronics,Online,Returned,FedEx,,Medium
742612,SKU_1446,Headphones,-31,2020-01-31 05:00,-42.19,,France,1.1149112131646657,paypall,,Apparel,Online,Not Returned,UPS,,Medium
887494,SKU_1543,USB Cable,38,2020-01-31 09:00,75.44,87333.0,Norway,0.35,Credit Card,21.55,Apparel,In-store,Not Returned,UPS,Berlin,Low
989465,SKU_1879,Headphones,1,2020-01-31 16:00,9.04,,France,0.15,Bank Transfer,16.12,Electronics,Online,Not Returned,UPS,Paris,Medium
279208,SKU_1449,Headphones,13,2020-02-01 01:00,76.42,,Netherlands,0.45,Credit Card,9.62,Furniture,Online,Not Returned,DHL,,Low
455249,SKU_1740,Headphones,9,2020-02-01 14:00,40.41,,Netherlands,0.25,Credit Card,9.28,Electronics,Online,Not Returned,DHL,,Low
257504,SKU_1903,Notebook,20,2020-02-02 02:00,84.84,,United States,0.31,Credit Card,5.4,Electronics,Online,Not Returned,UPS,London,Low
338067,SKU_1784,Headphones,31,2020-02-02 03:00,89.53,,Sweden,0.15,Bank Transfer,28.18,Stationery,Online,Not Returned,DHL,,High
617923,SKU_1074,White Mug,8,2020-02-02 08:00,86.63,,Australia,0.3,Credit Card,26.41,Electronics,In-store,Not Returned,FedEx,,Low
506332,SKU_1714,Desk Lamp,28,2020-02-03 08:00,52.24,,Spain,0.23,Bank Transfer,15.38,Electronics,In-store,Not Returned,Royal Mail,Paris,Medium
359214,SKU_1222,USB Cable,-49,2020-02-05 02:00,77.84,,Netherlands,0.21,Bank Transfer,,Furniture,Online,Not Returned,FedEx,,Medium
250159,SKU_1263,USB Cable,46,2020-02-05 08:00,51.74,,France,0.46,paypall,15.24,Electronics,In-store,Not Returned,UPS,,Medium
255576,SKU_1467,Wall Clock,-45,2020-02-05 10:00,-29.15,,Sweden,1.8515904099835208,Credit Card,,Apparel,Online,Not Returned,DHL,,High
111023,SKU_1958,Desk Lamp,22,2020-02-05 13:00,47.37,,Australia,0.21,Bank Transfer,26.19,Apparel,In-store,Not Returned,Royal Mail,,Low
614723,SKU_1724,Headphones,36,2020-02-05 21:00,52.58,,Spain,0.36,Bank Transfer,13.7,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium
790907,SKU_1596,Office Chair,-4,2020-02-06 15:00,-88.61,,Australia,1.1396455477557932,Bank Transfer,,Apparel,Online,Not Returned,Royal Mail,,High
222402,SKU_1017,T-shirt,5,2020-02-06 20:00,81.04,,Norway,0.37,paypall,26.43,Apparel,In-store,Not Returned,Royal Mail,,Medium
563556,SKU_1870,White Mug,4,2020-02-07 02:00,12.13,,Belgium,0.04,Credit Card,16.11,Accessories,Online,Not Returned,UPS,Rome,High
268964,SKU_1724,Desk Lamp,29,2020-02-07 10:00,89.62,,United Kingdom,0.26,paypall,16.5,Stationery,Online,Not Returned,UPS,,High
251456,SKU_1855,Wireless Mouse,48,2020-02-08 02:00,20.27,,United States,0.19,Credit Card,23.45,Furniture,Online,Not Returned,UPS,,High
335365,SKU_1837,USB Cable,-20,2020-02-08 14:00,19.75,,Belgium,0.28,Bank Transfer,,Furniture,Online,Not Returned,DHL,,Low
909956,SKU_1817,Desk Lamp,15,2020-02-08 18:00,17.15,,United Kingdom,0.03,Bank Transfer,22.65,Stationery,In-store,Not Returned,UPS,Paris,High
244528,SKU_1755,White Mug,30,2020-02-09 00:00,40.43,,Belgium,0.15,Bank Transfer,27.82,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Low
136187,SKU_1974,T-shirt,-37,2020-02-09 13:00,44.04,,United Kingdom,0.36,Bank Transfer,,Furniture,Online,Not Returned,Royal Mail,,High
144238,SKU_1191,Office Chair,24,2020-02-10 11:00,98.49,,Italy,0.15,Credit Card,13.76,Accessories,Online,Not Returned,Royal Mail,,Low
762301,SKU_1036,Headphones,-47,2020-02-11 01:00,-61.53,,Netherlands,1.1007868099387903,paypall,,Stationery,Online,Not Returned,FedEx,,Medium
807689,SKU_1931,USB Cable,-38,2020-02-11 14:00,-24.14,,United States,1.5009899123536776,Credit Card,,Furniture,In-store,Not Returned,FedEx,,Low
667376,SKU_1664,Wall Clock,3,2020-02-11 16:00,40.22,,Spain,0.23,Credit Card,28.16,Accessories,Online,Not Returned,Royal Mail,,High
533027,SKU_1443,White Mug,-28,2020-02-11 19:00,-73.12,,Italy,1.5286765290970958,Credit Card,,Stationery,In-store,Not Returned,DHL,,Medium
417623,SKU_1576,Backpack,-27,2020-02-11 21:00,43.13,,Netherlands,0.35,Bank Transfer,,Apparel,Online,Not Returned,DHL,,Medium
988900,SKU_1072,USB Cable,3,2020-02-12 04:00,72.47,,Australia,0.42,paypall,29.8,Accessories,In-store,Not Returned,FedEx,,Medium
766997,SKU_1818,Office Chair,-44,2020-02-12 22:00,-56.43,,Australia,1.925327224727465,Bank Transfer,,Apparel,Online,Not Returned,FedEx,,Medium
526650,SKU_1549,Wireless Mouse,-24,2020-02-13 07:00,-29.57,,Netherlands,1.0492347440188017,Credit Card,,Apparel,Online,Not Returned,FedEx,,Low
989513,SKU_1886,T-shirt,14,2020-02-13 16:00,54.83,,United States,0.24,Credit Card,13.43,Accessories,Online,Not Returned,Royal Mail,Berlin,High
572930,SKU_1853,White Mug,25,2020-02-14 21:00,11.2,,Sweden,0.49,Bank Transfer,12.39,Accessories,Online,Returned,UPS,Paris,High
969270,SKU_1673,Headphones,-38,2020-02-15 17:00,68.7,,Australia,0.37,paypall,,Stationery,Online,Not Returned,Royal Mail,,Medium
101062,SKU_1594,White Mug,-32,2020-02-16 10:00,-29.62,,Italy,0.26,paypall,,Electronics,Online,Returned,FedEx,,Low
499445,SKU_1402,Headphones,-23,2020-02-16 14:00,-18.16,,United States,1.266263632966273,Credit Card,,Stationery,Online,Not Returned,FedEx,,Medium
672203,SKU_1187,Backpack,-6,2020-02-16 17:00,93.62,,Spain,0.07,paypall,,Electronics,Online,Not Returned,DHL,,High
366776,SKU_1492,Wireless Mouse,-7,2020-02-16 18:00,-29.52,,Norway,0.37,Credit Card,,Apparel,In-store,Not Returned,Royal Mail,,High
749324,SKU_1589,White Mug,43,2020-02-17 03:00,77.31,,Italy,0.28,Bank Transfer,16.94,Accessories,Online,Not Returned,DHL,Paris,Low
570951,SKU_1179,White Mug,9,2020-02-17 10:00,12.24,,Norway,0.16,paypall,10.04,Furniture,Online,Not Returned,UPS,,Low
564374,SKU_1600,Wireless Mouse,4,2020-02-18 05:00,89.23,,Portugal,0.05,Bank Transfer,27.83,Electronics,Online,Not Returned,DHL,Rome,High
962557,SKU_1398,T-shirt,-36,2020-02-18 10:00,1.35,,United States,0.03,Bank Transfer,,Stationery,In-store,Not Returned,FedEx,,High
244990,SKU_1017,Headphones,-34,2020-02-18 11:00,-84.76,,Sweden,0.48,Credit Card,,Furniture,Online,Not Returned,Royal Mail,,Medium
258518,SKU_1549,Desk Lamp,-50,2020-02-18 12:00,-18.93,,Netherlands,1.8770664248534583,paypall,,Furniture,Online,Not Returned,Royal Mail,,Low
403571,SKU_1220,Desk Lamp,-34,2020-02-18 23:00,93.63,,Sweden,0.0,Bank Transfer,,Electronics,In-store,Not Returned,DHL,,High
487952,SKU_1248,Notebook,-20,2020-02-19 04:00,91.76,,Netherlands,0.04,paypall,,Furniture,In-store,Not Returned,UPS,,Low
689833,SKU_1263,Headphones,-50,2020-02-20 19:00,-10.6,,Germany,1.5035882252935395,Credit Card,,Apparel,In-store,Not Returned,FedEx,,High
357665,SKU_1172,White Mug,32,2020-02-21 02:00,21.02,,France,0.26,paypall,27.47,Electronics,Online,Not Returned,Royal Mail,,High
193070,SKU_1630,Office Chair,-6,2020-02-21 08:00,-30.81,,Portugal,1.207563971347419,Credit Card,,Accessories,Online,Not Returned,UPS,,Low
988266,SKU_1606,Backpack,21,2020-02-21 22:00,26.47,,Italy,0.08,paypall,26.55,Apparel,Online,Not Returned,Royal Mail,Paris,Low
760775,SKU_1942,White Mug,-29,2020-02-22 05:00,20.12,,Sweden,0.01,Credit Card,,Electronics,Online,Not Returned,UPS,,Medium
618545,SKU_1881,Notebook,-40,2020-02-23 04:00,10.72,,Spain,0.13,Credit Card,,Accessories,Online,Not Returned,Royal Mail,,Low
290279,SKU_1654,Wireless Mouse,25,2020-02-23 06:00,92.71,,Spain,0.08,paypall,18.24,Electronics,In-store,Not Returned,UPS,Amsterdam,High
139711,SKU_1262,Backpack,37,2020-02-23 09:00,5.68,,United States,0.25,paypall,27.88,Accessories,Online,Not Returned,DHL,,Medium
243026,SKU_1123,USB Cable,-16,2020-02-23 10:00,63.66,,Spain,0.27,paypall,,Stationery,Online,Not Returned,UPS,,Medium
996209,SKU_1832,Wireless Mouse,-29,2020-02-27 04:00,15.97,,Spain,0.03,Credit Card,,Electronics,In-store,Returned,FedEx,,Medium
330203,SKU_1804,Blue Pen,48,2020-02-27 09:00,16.36,,Belgium,0.02,paypall,6.44,Stationery,Online,Not Returned,UPS,London,Medium
938761,SKU_1434,Desk Lamp,-33,2020-02-27 20:00,-22.69,,Italy,1.5610842316179174,Credit Card,,Stationery,Online,Returned,UPS,,High
600315,SKU_1430,White Mug,-43,2020-02-27 22:00,-42.19,,Norway,1.1939972794163576,paypall,,Apparel,In-store,Not Returned,FedEx,,High
278595,SKU_1076,Blue Pen,-28,2020-02-28 14:00,-89.23,,Norway,1.9856555899355053,paypall,,Electronics,Online,Not Returned,FedEx,,High
268502,SKU_1184,Wireless Mouse,13,2020-02-28 21:00,31.15,,Italy,0.34,paypall,9.92,Furniture,In-store,Not Returned,UPS,Paris,High
532498,SKU_1388,Desk Lamp,-42,2020-02-28 22:00,80.96,,Sweden,0.31,Credit Card,,Electronics,In-store,Not Returned,FedEx,,Low
984377,SKU_1493,White Mug,-34,2020-02-29 06:00,-28.01,,France,1.8263448475671504,paypall,,Accessories,In-store,Not Returned,UPS,,High
932672,SKU_1617,Headphones,-10,2020-03-01 04:00,-13.28,,United States,1.2350487134696615,Bank Transfer,,Accessories,In-store,Not Returned,DHL,,Medium
643385,SKU_1243,Backpack,34,2020-03-01 08:00,11.67,,Spain,0.17,Bank Transfer,21.47,Apparel,In-store,Not Returned,Royal Mail,,Medium
233554,SKU_1177,Wireless Mouse,33,2020-03-02 06:00,60.2,,United Kingdom,0.49,Bank Transfer,27.34,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Low
717895,SKU_1978,Blue Pen,30,2020-03-02 16:00,96.01,,Italy,0.29,paypall,24.56,Furniture,Online,Not Returned,Royal Mail,,High
688365,SKU_1686,Backpack,33,2020-03-02 20:00,89.61,,France,0.4,paypall,16.97,Electronics,In-store,Not Returned,DHL,London,Medium
357009,SKU_1887,White Mug,15,2020-03-02 23:00,76.99,,Belgium,0.3,Bank Transfer,21.88,Apparel,In-store,Not Returned,UPS,Berlin,Medium
402950,SKU_1606,Headphones,-30,2020-03-03 10:00,-63.42,,Germany,1.783446387851377,paypall,,Accessories,Online,Not Returned,UPS,,Low
752465,SKU_1858,White Mug,-17,2020-03-03 19:00,-11.36,,Belgium,1.1442046074940042,Credit Card,,Accessories,Online,Not Returned,FedEx,,Medium
316454,SKU_1093,Wall Clock,36,2020-03-03 20:00,79.67,,Netherlands,0.49,Bank Transfer,23.56,Furniture,In-store,Not Returned,Royal Mail,London,Low
112175,SKU_1209,White Mug,-28,2020-03-05 00:00,-6.22,,Portugal,1.3450909282956791,Credit Card,,Accessories,Online,Not Returned,FedEx,,Low
307990,SKU_1153,Blue Pen,-3,2020-03-06 06:00,-93.29,,Australia,1.8240749249321304,Bank Transfer,,Accessories,In-store,Not Returned,UPS,,High
294269,SKU_1807,Desk Lamp,-47,2020-03-06 10:00,-51.81,,Spain,1.1990271377400532,Bank Transfer,,Stationery,Online,Not Returned,UPS,,High
864757,SKU_1970,Blue Pen,48,2020-03-06 16:00,88.66,,Portugal,0.25,Credit Card,21.71,Apparel,In-store,Not Returned,DHL,,Medium
807280,SKU_1930,Headphones,-8,2020-03-07 00:00,99.71,,Sweden,0.04,paypall,,Electronics,Online,Not Returned,UPS,,Low
595553,SKU_1277,USB Cable,-8,2020-03-07 06:00,58.26,,Australia,0.39,Credit Card,,Stationery,Online,Returned,DHL,,Low
123752,SKU_1996,Backpack,37,2020-03-07 10:00,99.23,,Belgium,0.02,Credit Card,22.94,Stationery,Online,Not Returned,DHL,Berlin,Medium
942393,SKU_1982,T-shirt,-49,2020-03-07 15:00,-77.48,,Netherlands,1.9471402916967229,Bank Transfer,,Accessories,In-store,Not Returned,DHL,,Low
356609,SKU_1235,White Mug,-17,2020-03-07 19:00,-58.85,,Australia,0.2,paypall,,Furniture,In-store,Not Returned,UPS,,Low
641013,SKU_1348,USB Cable,25,2020-03-08 13:00,21.09,,Portugal,0.12,paypall,18.95,Stationery,Online,Not Returned,UPS,Paris,Medium
791757,SKU_1269,Backpack,-38,2020-03-09 08:00,-25.25,,Norway,1.4055975816045392,Bank Transfer,,Stationery,In-store,Not Returned,UPS,,Low
662997,SKU_1822,Wall Clock,-19,2020-03-09 12:00,37.96,,Sweden,0.16,paypall,,Apparel,In-store,Not Returned,Royal Mail,,Low
322320,SKU_1043,Wall Clock,-4,2020-03-09 23:00,82.02,,France,0.18,paypall,,Apparel,Online,Not Returned,UPS,,High
305550,SKU_1293,Wall Clock,38,2020-03-10 12:00,24.69,,United Kingdom,0.46,paypall,20.64,Electronics,Online,Returned,FedEx,Berlin,Medium
724712,SKU_1234,White Mug,4,2020-03-11 02:00,18.19,,Spain,0.25,paypall,17.99,Furniture,Online,Not Returned,FedEx,,Low
493276,SKU_1728,T-shirt,47,2020-03-11 07:00,33.32,,France,0.07,paypall,28.64,Electronics,Online,Not Returned,DHL,,Medium
385195,SKU_1732,White Mug,26,2020-03-11 23:00,88.31,,Australia,0.0,Bank Transfer,13.67,Apparel,In-store,Not Returned,DHL,Rome,Low
675762,SKU_1890,Desk Lamp,-28,2020-03-12 00:00,-72.95,,United Kingdom,1.95436178929028,Credit Card,,Accessories,In-store,Not Returned,UPS,,High
528988,SKU_1592,USB Cable,-26,2020-03-12 06:00,58.88,,Australia,0.31,Bank Transfer,,Electronics,In-store,Returned,Royal Mail,,Low
616142,SKU_1926,Wireless Mouse,-46,2020-03-13 10:00,-3.47,,Norway,0.44,paypall,,Stationery,In-store,Not Returned,DHL,,Medium
956774,SKU_1793,Notebook,-19,2020-03-13 13:00,-10.9,,Netherlands,1.9825276609403584,Credit Card,,Apparel,In-store,Not Returned,UPS,,Medium
893072,SKU_1678,Wall Clock,36,2020-03-15 08:00,62.89,,Spain,0.23,Bank Transfer,18.08,Stationery,Online,Not Returned,UPS,Paris,Low
354444,SKU_1845,Blue Pen,-7,2020-03-15 16:00,-41.05,,Belgium,1.7730586901443632,Credit Card,,Accessories,Online,Not Returned,FedEx,,Medium
522845,SKU_1429,T-shirt,-10,2020-03-16 11:00,66.3,,United States,0.28,Credit Card,,Apparel,Online,Not Returned,Royal Mail,,Medium
806544,SKU_1714,White Mug,-48,2020-03-16 12:00,43.75,,Italy,0.5,Credit Card,,Electronics,In-store,Not Returned,Royal Mail,,Medium
709719,SKU_1393,Headphones,47,2020-03-16 18:00,40.96,,Italy,0.44,paypall,23.5,Apparel,In-store,Returned,DHL,,Medium
989097,SKU_1321,Blue Pen,-47,2020-03-16 22:00,-32.44,,Italy,0.32,paypall,,Stationery,Online,Not Returned,UPS,,Medium
281144,SKU_1213,T-shirt,3,2020-03-17 00:00,97.19,,Germany,0.37,Credit Card,7.35,Electronics,In-store,Not Returned,DHL,,Medium
321888,SKU_1498,Headphones,29,2020-03-17 17:00,9.85,96788.0,Germany,0.37,Bank Transfer,27.1,Apparel,In-store,Not Returned,UPS,Rome,Low
601946,SKU_1357,Wall Clock,19,2020-03-18 03:00,71.01,,Australia,0.08,Bank Transfer,14.75,Furniture,Online,Not Returned,Royal Mail,Berlin,Low
658924,SKU_1944,Backpack,-4,2020-03-18 15:00,66.75,,Italy,0.5,Bank Transfer,,Stationery,In-store,Not Returned,FedEx,,Medium
910694,SKU_1850,T-shirt,26,2020-03-18 18:00,41.61,,United Kingdom,0.35,Credit Card,22.09,Electronics,In-store,Returned,Royal Mail,,Medium
161665,SKU_1029,USB Cable,21,2020-03-19 04:00,43.73,,United States,0.07,Bank Transfer,14.39,Accessories,Online,Not Returned,DHL,,High
678316,SKU_1233,Desk Lamp,-5,2020-03-20 04:00,-1.49,,Germany,1.332088265012199,Bank Transfer,,Stationery,Online,Not Returned,Royal Mail,,Medium
893719,SKU_1260,T-shirt,-7,2020-03-20 05:00,-20.99,,Sweden,0.31,paypall,,Furniture,Online,Not Returned,UPS,,High
183560,SKU_1147,White Mug,-17,2020-03-20 15:00,29.38,,Spain,0.26,Credit Card,,Accessories,In-store,Not Returned,UPS,,High
